Phase,Date of Departure,Date from Location,Unit,DO Base,District,Number,Type,,Notes
0,8/1/05,,POLRI (initial organic),,Banda Aceh,796,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Besar ,327,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Pidie,605,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Bireuen,280,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Lhokseumawe,74,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Utara,350,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Langsa,528,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Timur,223,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Tamiang,239,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Barat,229,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Nagan Raya,62,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Jaya,54,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Simeulu,132,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Selatan,411,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Barat Daya,76,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Singkil,257,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Tengah,379,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Bener Meriah,121,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Aceh Tenggara,443,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Gayo Luwes,164,4 - Police,,
0,8/1/05,,POLRI (initial organic),,Sabang,188,4 - Police,,
0,8/1/05,,POLRI (initial PNS),,Banda Aceh,15,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Besar ,6,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Pidie,9,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Bireuen,4,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Lhokseumawe,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Utara,25,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Langsa,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Timur,18,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Tamiang,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Barat,6,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Nagan Raya,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Jaya,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Simeulu,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Selatan,7,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Barat Daya,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Singkil,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Tengah,15,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Bener Meriah,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Aceh Tenggara,15,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Gayo Luwes,0,11 - Police PNS,,
0,8/1/05,,POLRI (initial PNS),,Sabang,4,11 - Police PNS,,
0,8/12/05,,Police (Organic),Banda Aceh,Aceh Besar,-80,4 - Police,,Newly Recruited
0,8/12/05,,Police (PJB),Banda Aceh,Aceh Besar,23,10 - Other BKO,,
0,8/12/05,,Police (Komlek),Banda Aceh,Aceh Besar,4,10 - Other BKO,,
0,8/12/05,,Police (Samapta),Banda Aceh,Aceh Besar,70,12 - Samapta BKO,,
0,8/12/05,,Police (Bimmas),Banda Aceh,Aceh Besar,21,10 - Other BKO,,
0,8/12/05,,Police (Penerangan) ,Banda Aceh,Aceh Besar,10,10 - Other BKO,
0,8/12/05,,Police (Yustisi),Banda Aceh,Aceh Besar,25,10 - Other BKO,
0,8/12/05,,Police (Intel),Banda Aceh,Aceh Besar,42,10 - Other BKO,
0,8/12/05,,Police (Provinsi),Banda Aceh,Aceh Besar,5,10 - Other BKO,
0,8/12/05,,Police (Samapta),,Pidie,35,12 - Samapta BKO,
0,8/12/05,,Police (Bimmas),,Pidie,4,10 - Other BKO,
0,8/12/05,,Police (Yustisi),,Pidie,10,10 - Other BKO,
