Province,Moi,Matiba,Kibaki,Odinga,Others
Central,2.10%,60.40%,35.80%,1.00%,0.70%
Coast,62.10%,11.00%,10.60%,14.10%,2.20%
Eastern,37.00%,10.10%,50.00%,1.70%,1.10%
North Eastern,74.80%,11.60%,5.30%,8.20%,0.10%
Nairobi,16.60%,44.10%,18.60%,20.20%,0.50%
Nyanza,15.20%,1.30%,6.70%,75.40%,1.30%
Rift Valley,71.50%,15.60%,7.20%,5.50%,0.30%
Western,39.30%,38.40%,2.60%,17.70%,1.90%
