Regions,Mwai Kibaki,Daniel ARAP MOI
Central,89.30%,5.60%
Coast,12.80%,63.40%
Eastern,28.50%,35.50%
Nairobi,43.90%,20.60%
North Eastern,21.20%,73.20%
Nyanza,15.10%,23.60%
Rift Valley,20.90%,69.50%
Western,1.40%,44.90%
